booking_id,airline,flight_type,lead_time,departure_month,weekend_departure,num_passengers,fare_type,special_requests,previous_cancellations,payment_type,ticket_price,loyalty_member,seat_selection,travel_insurance,weather_risk_score,is_canceled
10000,Alaska,Domestic,32,Mar,1,3.0,First,0,2,,280.27,No,Paid,No,0.0,0
10001,JetBlue,International,157,Jan,0,4.0,Business,1,1,Credit Card,436.8,NO,Paid,Yes,1.0,0
10002,Southwest,Domestic,208,Mar,0,,Economy,0,1,Credit Card,536.45,No,Free,No,3.0,1
10003,JetBlue,Domestic,125,Dec,0,3.0,Economy,1,2,Credit Card,281.36,No,Free,Yes,0.0,1
10004,JetBlue,International,234,Mar,0,5.0,Economy,2,0,Credit Card,513.42,Yes,Paid,No,10.0,1
10005,United,Domestic,159,May,0,3.0,Economy,0,0,Credit Card,337.59,No,Free,No,,1
10006,Southwest,Domestic,169,Nov,1,2.0,Economy,0,1,Debit Card,430.09,No,Free,Yes,4.0,1
10007,Southwest,International,205,Dec,0,3.0,Economy,4,0,Credit Card,111.49,Yes,Paid,Yes,6.0,1
10008,Southwest,Domestic,121,Dec,1,2.0,Economy,2,0,Debit Card,135.49,Y,Paid,No,5.0,0
10009,JetBlue,Domestic,137,Apr,0,5.0,Economy,4,0,Debit Card,474.81,no,Paid,No,2.0,0
10010,Alaska,Domestic,238,Apr,1,,Economy,1,2,Credit Card,398.49,Yes,Free,Yes,4.0,0
10011,Southwest,Domestic,114,Sep,0,6.0,Economy,1,0,Credit Card,416.51,Yes,Free,Yes,2.0,0
10012,JetBlue,Domestic,163,Jul,0,2.0,Economy,2,0,Debit Card,208.97,Yes,Paid,No,8.0,1
10013,United,Domestic,161,Apr,0,4.0,Economy,1,0,Debit Card,300.89,No,Paid,No,1.0,1
10014,Alaska,Domestic,200,Mar,0,4.0,Economy,2,1,Debit Card,125.89,Yes,Free,No,5.0,1
10015,United,Domestic,233,Jun,0,2.0,Economy,1,0,Debit Card,241.36,Yes,Free,No,8.0,1
10016,Alaska,International,27,Mar,1,5.0,Economy,3,2,Credit Card,356.8,Yes,Free,No,9.0,0
10017,JetBlue,International,10,Jun,0,1.0,Business,0,0,Debit Card,405.9,No,Paid,Yes,6.0,0
10018,Delta,Domestic,205,Nov,1,4.0,Economy,3,0,Credit Card,260.19,No,Free,No,4.0,1
