temperature,brightness,size,color,class
3068,0.0024,0.17,Red,0
3042,0.0005,0.1542,Red,0
2600,0.0003,0.102,Red,0
2800,0.0002,0.16,Red,0
1939,0.000138,0.103,Red,0
2840,0.00065,0.11,Red,0
2637,0.00073,0.127,Red,0
2600,0.0004,0.096,Red,0
2650,0.00069,0.11,Red,0
2700,0.00018,0.13,Red,0
3600,0.0029,0.51,Red,1
3129,0.0122,0.3761,Red,1
3134,0.0004,0.196,Red,1
3628,0.0055,0.393,Red,1
2650,0.0006,0.14,Red,1
3340,0.0038,0.24,Red,1
2799,0.0018,0.16,Red,1
3692,0.00367,0.47,Red,1
3192,0.00362,0.1967,Red,1
3441,0.039,0.351,Red,1
25000,0.056,0.0084,Blue White,2
7740,0.00049,0.01234,White,2
7220,0.00017,0.011,White,2
8500,0.0005,0.01,White,2
16500,0.013,0.014,Blue White,2
12990,8.5e-05,0.00984,Yellowish White,2
8570,0.00081,0.0097,Blue white,2
7700,0.00011,0.0128,Yellowish White,2
11790,0.00015,0.011,Yellowish White,2
7230,8e-05,0.013,Pale yellow orange,2
39000,204000.0,10.6,Blue,3
30000,28840.0,6.3,Blue-white,3
15276,1136.0,7.2,Blue-white,3
9700,74.0,2.89,Whitish,3
5800,0.81,0.9,yellow-white,3
8052,8.7,1.8,Whitish,3
6757,1.43,1.12,yellow-white,3
6380,1.35,0.98,yellow-white,3
5936,1.357,1.106,yellow-white,3
5587,0.819,0.99,yellow-white,3
3826,200000.0,19.0,Red,4
3365,340000.0,23.0,Red,4
3270,150000.0,88.0,Red,4
3200,195000.0,17.0,Red,4
3008,280000.0,25.0,Red,4
3600,320000.0,29.0,Red,4
3575,123000.0,45.0,Red,4
3574,200000.0,89.0,Red,4
3625,184000.0,84.0,Red,4
33750,220000.0,26.0,Blue,4
3490,270000.0,1520.0,Red,5
3750,283000.0,1260.0,Red,5
3834,272000.0,1183.0,Red,5
3749,550000.0,1648.0,Orange,5
3650,310000.0,1324.0,Red,5
3450,263000.0,1349.0,Red,5
3660,363000.0,1673.0,Red,5
3450,174000.0,1284.0,Red,5
3752,209000.0,955.0,Red,5
3535,195000.0,1546.0,Red,5
3341,0.0056,0.057,Red,0
3432,0.00067,0.19,Red,0
2983,0.00024,0.094,Red,0
2835,0.00034,0.0918,Red,0
2935,0.00014,0.116,Red,0
3295,0.00098,0.132,Red,0
2945,0.00032,0.093,Red,0
2817,0.00098,0.0911,Red,0
2774,0.00036,0.118,Red,0
2871,0.00072,0.12,Red,0
3345,0.021,0.273,Red,1
3607,0.022,0.38,Red,1
3304,0.0085,0.18,Red,1
3150,0.0088,0.35,Red,1
3550,0.004,0.291,Red,1
3180,0.001,0.35,Red,1
2890,0.0034,0.24,Red,1
3342,0.0015,0.307,Red,1
2621,0.0006,0.098,Red,1
3158,0.00135,0.161,Red,1
7100,0.00029,0.012,White-Yellow,2
10574,0.00014,0.0092,White,2
8930,0.00056,0.0095,white,2
17200,0.00098,0.015,Blue White,2
14100,0.00067,0.0089,Blue White,2
9675,0.00045,0.0109,Blue White,2
12010,0.00078,0.0092,Blue White,2
10980,0.00074,0.0087,Blue White,2
13720,0.00018,0.00892,white,2
19860,0.0011,0.0131,Blue,2
5300,0.59,0.91,yellow-white,3
4526,0.153,0.865,yellowish,3
4077,0.085,0.795,yellowish,3
4980,0.357,1.13,Yellowish,3
9030,45.0,2.63,Blue-white,3
11250,672.0,6.98,Blue-white,3
5112,0.63,0.876,Orange-Red,3
7720,7.92,1.34,yellow-white,3
12098,689.0,7.01,Blue-white,3
36108,198000.0,10.2,Blue,3
33300,240000.0,12.0,Blue,4
40000,813000.0,14.0,Blue,4
23000,127000.0,36.0,Blue,4
17120,235000.0,83.0,Blue,4
11096,112000.0,12.0,Blue,4
14245,231000.0,42.0,Blue,4
24630,363000.0,63.0,Blue,4
12893,184000.0,36.0,Blue,4
24345,142000.0,57.0,Blue,4
33421,352000.0,67.0,Blue,4
3459,100000.0,1289.0,Red,5
3605,126000.0,1124.0,Red,5
3615,200000.0,1635.0,Red,5
3399,117000.0,1486.0,Red,5
3610,132000.0,1522.0,Red,5
3553,145000.0,1324.0,Red,5
4015,282000.0,1534.0,Red,5
3625,74000.0,876.0,Red,5
6850,229000.0,1467.0,Red,5
3780,200000.0,1324.0,Red,5
3323,0.00043,0.0912,Red,0
3531,0.00093,0.0976,Red,0
3218,0.00054,0.11,Red,0
3146,0.00015,0.0932,Red,0
3511,0.00064,0.109,Red,0
3225,0.00076,0.121,Red,0
2935,0.00087,0.0932,Red,0
2861,0.00019,0.0899,Red,0
2856,0.000896,0.0782,Red,0
2731,0.000437,0.0856,Red,0
3095,0.00019,0.492,Red,1
3607,0.00023,0.38,Red,1
3100,0.008,0.31,Red,1
2989,0.0087,0.34,Red,1
3542,0.0009,0.62,Red,1
3243,0.0023,0.73,Red,1
3091,0.0081,0.24,Red,1
3598,0.0011,0.56,Red,1
3324,0.0034,0.34,Red,1
3541,0.0013,0.256,Red,1
13420,0.00059,0.00981,Blue White,2
21020,0.0015,0.0112,Blue,2
18290,0.0013,0.00934,Blue,2
14520,0.00082,0.00972,Blue White,2
11900,0.00067,0.00898,Blue white,2
8924,0.00028,0.00879,Blue white,2
12912,0.00071,0.00945,Blue white,2
14732,0.00011,0.00892,white,2
7723,0.00014,0.00878,White,2
12984,0.00088,0.00996,Blue White,2
29560,188000.0,6.02,Blue-white,3
8945,38.0,2.487,Blue-White,3
14060,1092.0,5.745,Blue-white,3
16390,1278.0,5.68,Blue-white,3
25070,14500.0,5.92,Blue-white,3
28700,16790.0,6.4,Blue-white,3
26140,14520.0,5.49,Blue-white,3
20120,4720.0,6.78,Blue-white,3
13023,998.0,6.21,Blue-white,3
37800,202900.0,6.86,Blue,3
25390,223000.0,57.0,Blue,4
11567,251000.0,36.0,Blue,4
12675,452000.0,83.0,Blue,4
5752,245000.0,97.0,Blue,4
8927,239000.0,35.0,Blue,4
7282,131000.0,24.0,Blue,4
19923,152000.0,73.0,Blue,4
26373,198000.0,39.0,Blue,4
17383,342900.0,30.0,Blue,4
9373,424520.0,24.0,Blue,4
3570,320000.0,1480.0,Red,5
3500,138000.0,1420.0,Red,5
4287,630000.0,1315.0,Orange,5
26000,316000.0,1679.0,Blue,5
3600,240000.0,1190.0,Red,5
3614,145000.0,1553.0,Red,5
18000,200000.0,1045.0,Blue,5
11000,170000.0,1779.0,Blue-white,5
12100,120000.0,708.9,Blue-white,5
24490,248490.0,1134.5,Blue-white,5
2831,0.000231,0.0915,Red,0
2914,0.000631,0.116,Red,0
3419,0.000245,0.126,Red,0
3218,0.000452,0.0987,Red,0
3453,0.000621,0.0773,Red,0
2889,0.000352,0.0973,Red,0
2968,0.000461,0.119,Red,0
3484,0.000551,0.0998,Red,0
2778,0.000849,0.112,Red,0
3523,0.000957,0.129,Red,0
3462,0.0053,0.148,Red,1
3257,0.0024,0.46,Red,1
2994,0.0072,0.28,Red,1
3212,0.0016,0.378,Red,1
3523,0.0054,0.319,Red,1
3598,0.0027,0.67,Red,1
3142,0.00132,0.258,Red,1
3496,0.00125,0.336,Red,1
3324,0.0065,0.471,Red,1
3463,0.0027,0.675,Red,1
16790,0.0014,0.0121,Blue,2
15680,0.00122,0.0114,Blue,2
14982,0.00118,0.0113,Blue,2
13340,0.00109,0.0116,Blue,2
18340,0.00134,0.0124,Blue,2
19920,0.00156,0.0142,Blue,2
24020,0.00159,0.0127,Blue,2
23092,0.00132,0.0104,Blue,2
17920,0.00111,0.0106,Blue,2
19360,0.00125,0.00998,Blue,2
22350,12450.0,6.36,Blue-white,3
10012,552.0,5.856,Blue-white,3
13089,788.0,5.992,Blue-white,3
22012,6748.0,6.64,Blue-white,3
34190,198200.0,6.39,Blue,3
32460,173800.0,6.237,Blue,3
9320,29.0,1.91,Blue-white,3
19400,10920.0,6.03,Blue-white,3
17140,883.0,5.653,Blue-white,3
8250,9.25,1.93,yellow-white,3
23678,244290.0,35.0,Blue,4
12749,332520.0,76.0,Blue,4
9383,342940.0,98.0,Blue,4
23440,537430.0,81.0,Blue,4
16787,246730.0,62.0,Blue,4
18734,224780.0,46.0,Blue,4
9892,593900.0,80.0,Blue,4
10930,783930.0,25.0,Blue,4
23095,347820.0,86.0,Blue,4
21738,748890.0,92.0,Blue,4
24145,382993.0,1494.0,Blue-white,5
38234,272830.0,1356.0,Blue,5
32489,648430.0,1948.5,Blue,5
27739,849420.0,1252.0,Blue-white,5
21904,748490.0,1130.0,Blue-white,5
38940,374830.0,1356.0,Blue,5
30839,834042.0,1194.0,Blue,5
8829,537493.0,1423.0,White,5
9235,404940.0,1112.0,White,5
37882,294903.0,1783.0,Blue,5
