Date,rentals,avg_temp_f,rainy,campus_event,avg_ride_minutes,revenue
2024-01-01,20,35.9,Yes,None,16.1,198.6
2024-01-02,51,34.2,No,None,28.5,464.08
2024-01-03,20,38.4,Yes,None,13.6,90.56
2024-01-04,20,31.7,Yes,None,8.3,50.0
2024-01-05,55,44.4,No,None,15.6,360.67
2024-01-06,20,40.0,Yes,None,13.0,160.9
2024-01-07,20,41.8,Yes,None,25.3,131.35
2024-01-08,99,35.7,No,None,24.2,897.81
2024-01-09,60,48.8,Yes,None,18.5,471.18
2024-01-10,20,35.2,Yes,None,16.7,116.07
2024-01-11,30,34.1,Yes,None,10.4,207.21
2024-01-12,89,41.0,No,None,26.3,840.3
2024-01-13,20,29.1,Yes,None,19.0,114.96
2024-01-14,20,32.7,Yes,None,18.1,194.28
2024-01-15,76,40.5,Yes,None,17.0,663.21
2024-01-16,20,32.4,Yes,None,15.8,188.63
2024-01-17,20,26.1,No,None,18.6,173.37
2024-01-18,20,36.8,Yes,None,18.8,51.38
2024-01-19,59,41.9,Yes,None,25.7,504.43
2024-01-20,44,36.7,No,None,26.5,421.88
2024-01-21,69,42.7,No,None,19.1,604.99
2024-01-22,20,34.5,Yes,None,15.6,170.84
2024-01-23,20,29.3,Yes,None,14.0,191.37
2024-01-24,25,34.4,Yes,None,18.6,264.02
2024-01-25,20,37.6,Yes,None,12.9,171.87
2024-01-26,65,36.1,No,None,22.8,538.46
2024-01-27,63,36.5,No,None,26.8,628.49
2024-01-28,20,38.6,Yes,None,18.0,67.82
2024-01-29,117,42.1,No,None,14.9,860.78
2024-01-30,20,33.5,Yes,None,14.2,50.0
2024-01-31,68,38.0,Yes,Career Fair,17.6,566.07
2024-02-01,20,36.0,Yes,None,15.4,151.94
2024-02-02,29,38.6,Yes,None,11.8,244.01
2024-02-03,36,39.6,No,None,28.3,376.81
2024-02-04,43,41.8,No,None,20.8,414.14
2024-02-05,43,34.8,No,None,23.1,450.5
2024-02-06,136,34.4,No,Concert,22.9,1151.29
2024-02-07,45,36.6,No,None,24.1,416.18
2024-02-08,20,40.0,Yes,None,18.9,117.01
2024-02-09,71,37.7,No,None,20.7,502.81
2024-02-10,57,37.2,No,None,16.4,314.89
2024-02-11,36,48.4,Yes,None,18.0,228.53
2024-02-12,148,33.2,No,Open House,19.4,1271.92
2024-02-13,70,46.8,No,None,22.0,639.79
2024-02-14,107,40.2,No,None,17.9,783.12
2024-02-15,68,39.2,No,None,17.1,522.55
2024-02-16,62,41.1,No,None,27.7,534.56
2024-02-17,77,52.0,No,None,26.4,685.17
2024-02-18,20,34.3,Yes,None,16.2,189.96
2024-02-19,96,40.3,Yes,Food Truck Day,14.6,828.39
2024-02-20,75,40.0,Yes,Club Fair,20.2,520.37
