date,sales,customers,temperature,rainy_day
1/1/2025,739,41,33,No
1/2/2025,1076,76,48,No
1/3/2025,658,119,36,No
1/4/2025,1352,101,35,Yes
1/5/2025,958,138,37,Yes
1/6/2025,1089,87,37,No
1/7/2025,527,79,47,No
1/8/2025,876,51,32,Yes
1/9/2025,775,96,49,Yes
1/10/2025,1033,79,38,No
1/11/2025,895,118,36,Yes
1/12/2025,1187,131,50,Yes
1/13/2025,791,120,31,No
1/14/2025,419,73,44,No
1/15/2025,950,83,49,Yes
1/16/2025,1006,44,49,No
1/17/2025,693,47,47,No
1/18/2025,724,106,34,No
1/19/2025,1010,88,40,Yes
1/20/2025,691,64,44,Yes
1/21/2025,1067,77,40,Yes
1/22/2025,685,47,34,No
1/23/2025,544,110,48,No
1/24/2025,514,84,40,No
1/25/2025,1091,125,34,Yes
1/26/2025,1077,116,32,Yes
1/27/2025,393,89,30,No
1/28/2025,573,109,37,No
1/29/2025,1035,76,38,No
1/30/2025,657,89,38,Yes
1/31/2025,1089,45,33,Yes
2/1/2025,988,150,39,Yes
2/2/2025,1283,140,42,No
2/3/2025,997,74,39,Yes
2/4/2025,738,115,37,Yes
2/5/2025,353,106,38,No
2/6/2025,972,104,46,No
2/7/2025,469,103,35,No
2/8/2025,1188,88,32,No
2/9/2025,1068,108,38,No
2/10/2025,586,93,31,Yes
2/11/2025,398,65,45,No
2/12/2025,908,43,43,Yes
2/13/2025,404,82,38,Yes
2/14/2025,497,40,37,Yes
2/15/2025,746,148,45,Yes
2/16/2025,1181,112,39,Yes
2/17/2025,841,58,40,Yes
2/18/2025,486,73,46,No
2/19/2025,408,104,47,No
2/20/2025,1050,64,40,No
2/21/2025,354,98,34,Yes
2/22/2025,986,130,46,No
2/23/2025,1285,153,34,No
2/24/2025,993,58,50,No
2/25/2025,552,101,50,Yes
2/26/2025,407,80,36,No
2/27/2025,518,94,48,Yes
2/28/2025,778,62,40,Yes
3/1/2025,1086,93,63,Yes
3/2/2025,1096,86,78,Yes
3/3/2025,654,78,51,Yes
3/4/2025,703,72,70,No
3/5/2025,528,76,46,No
3/6/2025,362,104,82,Yes
3/7/2025,590,48,67,Yes
3/8/2025,777,85,59,No
3/9/2025,1026,88,59,No
3/10/2025,425,106,57,Yes
3/11/2025,423,48,72,Yes
3/12/2025,547,62,41,Yes
3/13/2025,651,96,68,No
3/14/2025,934,40,85,Yes
3/15/2025,1295,145,46,No
3/16/2025,1197,133,39,No
3/17/2025,732,44,81,No
3/18/2025,925,72,75,Yes
3/19/2025,846,98,49,Yes
3/20/2025,495,69,72,No
3/21/2025,576,59,63,No
3/22/2025,1175,146,38,No
3/23/2025,1017,137,34,Yes
3/24/2025,565,42,82,No
3/25/2025,406,70,39,No
3/26/2025,418,48,43,No
3/27/2025,876,56,50,Yes
3/28/2025,422,77,48,No
3/29/2025,1174,135,76,No
3/30/2025,1132,125,87,Yes
3/31/2025,715,117,86,Yes
4/1/2025,1033,63,71,Yes
4/2/2025,658,90,83,Yes
4/3/2025,1079,82,36,No
4/4/2025,620,47,52,Yes
4/5/2025,897,107,31,No
4/6/2025,1303,149,57,No
4/7/2025,583,110,40,No
4/8/2025,980,57,44,Yes
4/9/2025,504,89,74,Yes
4/10/2025,975,64,41,Yes
4/11/2025,396,91,51,No
4/12/2025,1182,102,62,Yes
4/13/2025,1200,99,69,Yes
4/14/2025,925,105,62,Yes
4/15/2025,712,54,49,Yes
4/16/2025,548,96,30,Yes
4/17/2025,508,100,35,Yes
4/18/2025,1044,116,84,No
4/19/2025,934,157,72,No
4/20/2025,1023,97,45,No
4/21/2025,438,61,51,No
4/22/2025,511,80,56,No
4/23/2025,635,73,37,No
4/24/2025,463,49,64,Yes
4/25/2025,588,54,42,No
4/26/2025,1132,100,39,Yes
4/27/2025,1358,125,86,No
4/28/2025,712,120,86,No
4/29/2025,1083,119,80,Yes
4/30/2025,857,65,72,No
5/1/2025,460,60,57,No
5/2/2025,567,107,45,No
5/3/2025,1005,120,45,Yes
5/4/2025,1288,140,63,No
5/5/2025,439,87,85,Yes
5/6/2025,591,42,71,No
5/7/2025,882,85,69,No
5/8/2025,388,45,54,Yes
5/9/2025,620,50,81,Yes
5/10/2025,1011,124,54,No
5/11/2025,1276,101,70,Yes
5/12/2025,830,92,71,Yes
5/13/2025,694,72,35,Yes
5/14/2025,456,69,34,Yes
5/15/2025,731,103,45,Yes
5/16/2025,962,114,33,Yes
5/17/2025,765,113,53,Yes
5/18/2025,751,153,40,No
5/19/2025,490,97,88,Yes
5/20/2025,711,101,56,No
5/21/2025,880,90,42,No
5/22/2025,770,74,49,No
5/23/2025,922,72,69,Yes
5/24/2025,724,102,53,Yes
5/25/2025,1357,93,78,Yes
5/26/2025,907,93,73,No
5/27/2025,390,67,42,No
5/28/2025,856,45,59,No
5/29/2025,436,89,81,No
5/30/2025,551,97,36,No
5/31/2025,759,89,45,Yes
6/1/2025,1231,81,68,Yes
6/2/2025,557,103,78,Yes
6/3/2025,683,79,84,Yes
6/4/2025,1072,95,77,Yes
6/5/2025,476,104,78,No
6/6/2025,926,108,89,No
6/7/2025,724,112,86,Yes
6/8/2025,1003,146,73,Yes
6/9/2025,596,112,67,Yes
6/10/2025,676,54,66,No
6/11/2025,442,55,73,Yes
6/12/2025,941,40,94,Yes
6/13/2025,856,84,80,Yes
6/14/2025,1065,146,85,Yes
6/15/2025,1006,141,65,Yes
6/16/2025,928,74,69,No
6/17/2025,683,115,86,No
6/18/2025,971,117,93,Yes
6/19/2025,1085,101,71,Yes
6/20/2025,505,71,95,Yes
6/21/2025,1385,141,90,Yes
6/22/2025,957,134,67,Yes
6/23/2025,387,96,95,No
6/24/2025,509,45,72,Yes
6/25/2025,756,102,88,No
6/26/2025,766,99,72,Yes
6/27/2025,488,79,91,Yes
6/28/2025,1347,102,95,Yes
6/29/2025,835,132,89,No
6/30/2025,637,74,82,No
7/1/2025,987,73,85,No
7/2/2025,628,52,80,No
7/3/2025,723,69,80,No
7/4/2025,431,96,78,Yes
7/5/2025,948,146,80,No
7/6/2025,774,110,67,Yes
7/7/2025,660,69,75,Yes
7/8/2025,358,52,90,Yes
7/9/2025,1029,102,80,Yes
7/10/2025,368,114,84,No
7/11/2025,493,55,72,Yes
7/12/2025,1064,119,81,No
7/13/2025,1129,109,67,No
7/14/2025,889,69,72,No
7/15/2025,450,89,71,No
7/16/2025,510,79,85,Yes
7/17/2025,839,86,92,Yes
7/18/2025,377,79,94,Yes
7/19/2025,999,144,88,Yes
7/20/2025,703,147,79,Yes
7/21/2025,1059,42,67,No
7/22/2025,840,93,87,Yes
7/23/2025,672,115,94,Yes
7/24/2025,951,120,78,No
7/25/2025,612,120,70,No
7/26/2025,1208,139,95,No
7/27/2025,845,89,85,No
7/28/2025,614,61,66,Yes
7/29/2025,986,97,73,No
7/30/2025,915,73,77,Yes
7/31/2025,635,45,75,No
8/1/2025,699,88,79,No
8/2/2025,741,101,86,No
8/3/2025,990,128,82,No
8/4/2025,1035,51,92,No
8/5/2025,1067,62,78,Yes
8/6/2025,892,75,94,No
8/7/2025,353,63,92,No
8/8/2025,996,56,73,Yes
8/9/2025,824,155,94,No
8/10/2025,1129,133,76,Yes
8/11/2025,619,69,75,No
8/12/2025,634,75,75,Yes
8/13/2025,1028,75,73,No
8/14/2025,1094,77,87,No
8/15/2025,707,116,79,Yes
8/16/2025,1346,129,89,Yes
8/17/2025,1141,89,68,No
8/18/2025,696,115,86,Yes
8/19/2025,589,67,87,No
8/20/2025,666,117,81,Yes
8/21/2025,702,83,68,Yes
8/22/2025,844,88,83,Yes
8/23/2025,1153,118,87,No
8/24/2025,735,115,67,Yes
8/25/2025,637,66,94,No
8/26/2025,632,73,85,Yes
8/27/2025,616,53,84,Yes
8/28/2025,1028,58,65,No
8/29/2025,655,54,79,No
8/30/2025,1001,138,77,Yes
8/31/2025,1227,81,94,No
9/1/2025,457,67,54,Yes
9/2/2025,753,67,88,Yes
9/3/2025,404,117,73,Yes
9/4/2025,502,54,45,No
9/5/2025,839,60,65,Yes
9/6/2025,737,134,67,Yes
9/7/2025,1241,82,76,No
9/8/2025,632,90,42,Yes
9/9/2025,591,96,62,No
9/10/2025,1072,92,75,No
9/11/2025,634,117,69,Yes
9/12/2025,575,104,83,No
9/13/2025,1091,147,58,No
9/14/2025,1090,82,82,Yes
9/15/2025,374,95,35,Yes
9/16/2025,695,41,36,No
9/17/2025,851,43,75,Yes
9/18/2025,444,46,77,No
9/19/2025,850,102,48,Yes
9/20/2025,952,136,60,No
9/21/2025,1203,149,43,No
9/22/2025,862,107,36,Yes
9/23/2025,956,117,49,Yes
9/24/2025,997,82,68,No
9/25/2025,1048,49,87,No
9/26/2025,674,85,39,Yes
9/27/2025,973,140,57,Yes
9/28/2025,1135,130,34,No
9/29/2025,534,82,80,No
9/30/2025,696,83,62,Yes
10/1/2025,1041,90,49,No
10/2/2025,902,43,56,No
10/3/2025,376,47,64,No
10/4/2025,912,148,74,No
10/5/2025,1249,129,46,No
10/6/2025,913,106,67,No
10/7/2025,1092,88,45,Yes
10/8/2025,959,88,54,No
10/9/2025,588,83,65,Yes
10/10/2025,666,96,87,Yes
10/11/2025,1062,85,30,No
10/12/2025,964,139,84,No
10/13/2025,797,75,30,No
10/14/2025,907,107,87,No
10/15/2025,975,52,33,Yes
10/16/2025,629,67,85,No
10/17/2025,807,47,89,Yes
10/18/2025,950,107,79,Yes
10/19/2025,1263,157,80,Yes
10/20/2025,904,84,31,Yes
10/21/2025,514,54,43,Yes
10/22/2025,973,52,40,No
10/23/2025,577,106,82,No
10/24/2025,446,78,86,Yes
10/25/2025,1348,101,70,Yes
10/26/2025,1394,94,57,Yes
10/27/2025,684,66,86,No
10/28/2025,825,107,78,Yes
10/29/2025,841,72,61,Yes
10/30/2025,1053,64,33,No
10/31/2025,854,112,30,No
11/1/2025,733,96,80,No
11/2/2025,808,89,88,Yes
11/3/2025,758,119,48,No
11/4/2025,660,118,80,Yes
11/5/2025,978,73,64,No
11/6/2025,418,48,39,No
11/7/2025,824,90,34,No
11/8/2025,1174,127,64,Yes
11/9/2025,863,105,69,Yes
11/10/2025,458,66,70,No
11/11/2025,847,57,31,Yes
11/12/2025,460,117,55,No
11/13/2025,1028,52,82,No
11/14/2025,739,40,40,No
11/15/2025,845,126,31,Yes
11/16/2025,721,133,64,Yes
11/17/2025,658,53,67,No
11/18/2025,774,40,74,No
11/19/2025,952,89,83,Yes
11/20/2025,969,112,64,Yes
11/21/2025,1059,78,69,No
11/22/2025,1316,149,57,No
11/23/2025,780,160,87,Yes
11/24/2025,739,89,76,No
11/25/2025,901,44,52,No
11/26/2025,444,96,76,No
11/27/2025,924,74,80,Yes
11/28/2025,985,54,42,Yes
11/29/2025,906,112,53,Yes
11/30/2025,1296,150,68,No
12/1/2025,388,93,50,No
12/2/2025,463,50,40,Yes
12/3/2025,498,89,46,Yes
12/4/2025,564,109,48,No
12/5/2025,505,91,36,Yes
12/6/2025,1069,87,33,No
12/7/2025,792,103,39,Yes
12/8/2025,399,71,39,No
12/9/2025,426,110,34,Yes
12/10/2025,827,51,35,No
12/11/2025,502,68,42,Yes
12/12/2025,395,66,30,Yes
12/13/2025,808,144,47,Yes
12/14/2025,1305,115,37,Yes
12/15/2025,854,112,33,No
12/16/2025,824,64,35,No
12/17/2025,580,67,42,Yes
12/18/2025,972,86,47,No
12/19/2025,474,106,47,Yes
12/20/2025,840,90,34,Yes
12/21/2025,1210,127,35,Yes
12/22/2025,399,107,49,Yes
12/23/2025,784,78,49,No
12/24/2025,455,96,46,Yes
12/25/2025,634,97,48,No
12/26/2025,491,87,49,No
12/27/2025,1042,111,36,Yes
12/28/2025,992,146,39,No
12/29/2025,840,109,49,No
12/30/2025,782,52,47,Yes
12/31/2025,944,41,40,No
