Date,covid
1/1/2020,0
2/1/2020,1
3/1/2020,48
4/1/2020,65
5/1/2020,45
6/1/2020,47
7/1/2020,70
8/1/2020,47
9/1/2020,38
10/1/2020,48
11/1/2020,66
12/1/2020,75
1/1/2021,78
2/1/2021,61
3/1/2021,69
4/1/2021,55
5/1/2021,41
6/1/2021,27
7/1/2021,37
8/1/2021,75
9/1/2021,57
10/1/2021,37
11/1/2021,42
12/1/2021,76
1/1/2022,100
2/1/2022,30
3/1/2022,20
4/1/2022,19
5/1/2022,24
6/1/2022,24
7/1/2022,27
8/1/2022,20
9/1/2022,16
10/1/2022,13
11/1/2022,11
12/1/2022,14
1/1/2023,11
2/1/2023,9
3/1/2023,7
4/1/2023,6
5/1/2023,5
6/1/2023,4
7/1/2023,4
8/1/2023,9
9/1/2023,12
10/1/2023,8
11/1/2023,6
12/1/2023,9
1/1/2024,8
2/1/2024,5
3/1/2024,4
4/1/2024,3
5/1/2024,3
6/1/2024,4
7/1/2024,7
8/1/2024,8
9/1/2024,7
10/1/2024,4
11/1/2024,3
12/1/2024,3
1/1/2025,3
2/1/2025,3
3/1/2025,2
4/1/2025,2
5/1/2025,2
6/1/2025,2
7/1/2025,3
8/1/2025,4
9/1/2025,5
10/1/2025,3
11/1/2025,2
12/1/2025,3
1/1/2026,2
2/1/2026,2
