Date,Open,High,Low,Close
12/31/2025,"48,371.52","48,394.51","48,050.88","48,063.29"
12/30/2025,"48,434.88","48,471.70","48,297.26","48,367.06"
12/29/2025,"48,636.63","48,704.83","48,390.91","48,461.93"
12/26/2025,"48,712.47","48,782.00","48,589.07","48,710.97"
12/24/2025,"48,424.71","48,771.32","48,386.59","48,731.16"
12/23/2025,"48,320.59","48,527.50","48,254.31","48,442.41"
12/22/2025,"48,211.88","48,457.47","48,199.13","48,362.68"
12/19/2025,"47,974.82","48,289.63","47,974.82","48,134.89"
12/18/2025,"48,101.18","48,365.93","47,849.48","47,951.85"
12/17/2025,"48,128.05","48,387.33","47,856.79","47,885.97"
12/16/2025,"48,380.17","48,452.17","47,946.25","48,114.26"
12/15/2025,"48,594.36","48,679.14","48,283.27","48,416.56"
12/12/2025,"48,714.75","48,886.86","48,334.10","48,458.05"
12/11/2025,"48,082.90","48,756.34","48,082.90","48,704.01"
12/10/2025,"47,573.96","48,197.30","47,462.94","48,057.75"
12/09/2025,"47,724.52","47,957.79","47,533.60","47,560.29"
12/08/2025,"47,971.51","47,971.51","47,611.93","47,739.32"
12/05/2025,"47,879.60","48,133.54","47,871.51","47,954.99"
12/04/2025,"47,888.16","48,049.72","47,692.96","47,850.94"
12/03/2025,"47,371.62","47,969.64","47,371.62","47,882.90"
12/02/2025,"47,416.91","47,597.11","47,263.92","47,474.46"
12/01/2025,"47,580.85","47,676.03","47,271.11","47,289.33"
11/28/2025,"47,482.25","47,750.77","47,475.61","47,716.42"
11/26/2025,"47,196.15","47,571.40","47,196.15","47,427.12"
11/25/2025,"46,482.36","47,182.90","46,341.35","47,112.45"
11/24/2025,"46,351.93","46,587.71","46,108.01","46,448.27"
11/21/2025,"45,808.65","46,577.50","45,781.58","46,245.41"
11/20/2025,"46,567.51","46,856.75","45,728.93","45,752.26"
11/19/2025,"46,138.68","46,299.13","45,905.19","46,138.77"
11/18/2025,"46,382.92","46,382.92","45,913.60","46,091.74"
11/17/2025,"47,068.06","47,202.56","46,430.27","46,590.24"
11/14/2025,"47,222.38","47,380.07","46,863.05","47,147.48"
11/13/2025,"48,173.92","48,233.25","47,411.10","47,457.22"
11/12/2025,"48,015.79","48,431.57","48,015.79","48,254.82"
11/11/2025,"47,384.51","47,974.37","47,384.51","47,927.96"
11/10/2025,"47,095.06","47,412.89","46,934.35","47,368.63"
11/07/2025,"46,797.03","46,996.71","46,495.62","46,987.10"
11/06/2025,"47,255.12","47,359.29","46,787.44","46,912.30"
11/05/2025,"47,097.31","47,460.36","47,041.31","47,311.00"
11/04/2025,"47,148.04","47,274.90","46,877.06","47,085.24"
11/03/2025,"47,697.33","47,697.33","47,135.96","47,336.68"
