,player_id,name_common,year_id,age,team_id,G,Min,MPG,FT%
808,youngtr01,Trae Young,2019,20,ATL,81,2503,30.9,82.9
809,huertke01,Kevin Huerter,2019,20,ATL,75,2048,27.3,73.2
810,bembrde01,DeAndre' Bembry,2019,24,ATL,82,1931,23.5,64.0
811,collijo01,John Collins,2019,21,ATL,61,1829,30.0,76.3
812,bazemke01,Kent Bazemore,2019,29,ATL,67,1643,24.5,72.6
813,dedmode01,Dewayne Dedmon,2019,29,ATL,64,1609,25.1,81.4
814,princta02,Taurean Prince,2019,24,ATL,55,1552,28.2,81.9
815,lenal01,Alex Len,2019,25,ATL,77,1544,20.1,64.8
816,cartevi01,Vince Carter,2019,42,ATL,76,1330,17.5,71.2
817,linje01,Jeremy Lin,2019,30,ATL,51,1003,19.7,84.5
818,spellom01,Omari Spellman,2019,21,ATL,46,805,17.5,71.1
819,anderju01,Justin Anderson,2019,25,ATL,48,463,9.6,74.3
820,adamsja01,Jaylen Adams,2019,22,ATL,34,428,12.6,77.8
821,poythal01,Alex Poythress,2019,25,ATL,21,305,14.5,62.1
822,dorsety01,Tyler Dorsey,2019,22,ATL,27,251,9.3,61.5
823,hamilda02,Daniel Hamilton,2019,23,ATL,19,204,10.7,50.0
824,plumlmi01,Miles Plumlee,2019,30,ATL,18,173,9.6,53.3
825,davisde01,Deyonta Davis,2019,22,ATL,9,118,13.1,60.0
826,humphis01,Isaac Humphries,2019,21,ATL,5,56,11.2,0.0
827,johnsbj01,BJ Johnson,2019,23,ATL,6,43,7.2,100.0
828,zellety01,Tyler Zeller,2019,29,ATL,2,11,5.5,0.0
829,siberjo01,Jordan Sibert,2019,26,ATL,1,4,4.0,0.0
830,tatumja01,Jayson Tatum,2019,20,BOS,79,2455,31.1,85.5
831,irvinky01,Kyrie Irving,2019,26,BOS,67,2214,33.0,87.3
832,smartma01,Marcus Smart,2019,24,BOS,80,2200,27.5,80.6
833,morrima03,Marcus Morris,2019,29,BOS,75,2091,27.9,84.4
834,horfoal01,Al Horford,2019,32,BOS,68,1973,29.0,82.1
835,brownja02,Jaylen Brown,2019,22,BOS,74,1913,25.9,65.8
836,haywago01,Gordon Hayward,2019,28,BOS,72,1863,25.9,83.4
837,roziete01,Terry Rozier,2019,24,BOS,79,1791,22.7,78.5
838,theisda01,Daniel Theis,2019,26,BOS,66,908,13.8,73.7
839,baynear01,Aron Baynes,2019,32,BOS,51,821,16.1,85.5
840,ojelese01,Semi Ojeleye,2019,24,BOS,56,594,10.6,61.5
841,wanambr01,Brad Wanamaker,2019,29,BOS,36,343,9.5,85.7
842,williro04,Robert Williams III,2019,21,BOS,32,283,8.8,60.0
843,yabusgu01,Guerschon Yabusele,2019,23,BOS,41,251,6.1,68.2
844,doziepj01,PJ Dozier,2019,22,BOS,6,51,8.5,50.0
845,hunterj01,RJ Hunter,2019,25,BOS,1,26,26.0,50.0
846,monrogr01,Greg Monroe,2019,28,BOS,2,5,2.5,0.0
861,russeda01,D'Angelo Russell,2019,22,BRK,81,2448,30.2,78.0
862,harrijo01,Joe Harris,2019,27,BRK,76,2293,30.2,82.7
863,allenja01,Jarrett Allen,2019,20,BRK,80,2096,26.2,70.9
864,dinwisp01,Spencer Dinwiddie,2019,25,BRK,68,1914,28.1,80.6
865,carrode01,DeMarre Carroll,2019,32,BRK,67,1703,25.4,76.0
866,davised01,Ed Davis,2019,29,BRK,81,1446,17.9,61.7
867,kurucro01,Rodions Kurucs,2019,20,BRK,63,1294,20.5,78.3
868,holliro01,Rondae Hollis-Jefferson,2019,24,BRK,59,1234,20.9,64.5
869,dudleja01,Jared Dudley,2019,33,BRK,59,1220,20.7,69.6
870,crabbal01,Allen Crabbe,2019,26,BRK,43,1133,26.3,73.2
871,leverca01,Caris LeVert,2019,24,BRK,40,1063,26.6,69.1
872,napiesh01,Shabazz Napier,2019,27,BRK,56,983,17.6,83.3
873,grahatr01,Treveon Graham,2019,25,BRK,35,715,20.4,81.8
874,pinsoth01,Theo Pinson,2019,23,BRK,18,211,11.7,86.4
875,farieke01,Kenneth Faried,2019,29,BRK,12,118,9.8,62.5
876,musadz01,Dzanan Musa,2019,19,BRK,9,39,4.3,0.0
877,creekmi01,Mitchell Creek,2019,26,BRK,4,36,9.0,71.4
878,willial03,Alan Williams,2019,26,BRK,5,26,5.2,50.0
879,mccalta01,Tahjere McCall,2019,24,BRK,1,8,8.0,0.0
894,walkeke02,Kemba Walker,2019,28,CHA,82,2863,34.9,84.4
895,batumni01,Nicolas Batum,2019,30,CHA,75,2354,31.4,86.5
896,lambje01,Jeremy Lamb,2019,26,CHA,79,2250,28.5,88.8
897,willima02,Marvin Williams,2019,32,CHA,75,2133,28.4,76.7
898,bridgmi02,Miles Bridges,2019,20,CHA,80,1696,21.2,75.3
899,monkma01,Malik Monk,2019,20,CHA,73,1258,17.2,88.2
900,zelleco01,Cody Zeller,2019,26,CHA,49,1243,25.4,78.7
901,kiddgmi01,Michael Kidd-Gilchrist,2019,25,CHA,64,1179,18.4,77.2
902,parketo01,Tony Parker,2019,36,CHA,56,1003,17.9,73.4
903,hernawi01,Willy Hernangomez,2019,24,CHA,58,812,14.0,69.4
904,biyombi01,Bismack Biyombo,2019,26,CHA,54,783,14.5,63.7
905,bacondw01,Dwayne Bacon,2019,23,CHA,43,759,17.7,73.9
906,kaminfr01,Frank Kaminsky,2019,25,CHA,47,755,16.1,73.8
907,grahade01,Devonte' Graham,2019,23,CHA,46,676,14.7,76.1
908,macksh01,Shelvin Mack,2019,28,CHA,4,42,10.5,55.6
909,macurjp01,J.P. Macura,2019,23,CHA,2,17,8.5,0.0
910,chealjo01,Joe Chealey,2019,23,CHA,1,8,8.0,0.0
911,lavinza01,Zach LaVine,2019,23,CHI,63,2171,34.5,83.2
912,arcidry01,Ryan Arcidiacono,2019,24,CHI,81,1961,24.2,87.3
913,markkla01,Lauri Markkanen,2019,21,CHI,52,1682,32.3,87.2
914,lopezro01,Robin Lopez,2019,30,CHI,74,1606,21.7,72.4
915,harrish01,Shaquille Harrison,2019,25,CHI,73,1430,19.6,66.7
916,dunnkr01,Kris Dunn,2019,24,CHI,46,1389,30.2,79.7
917,holidju01,Justin Holiday,2019,29,CHI,38,1325,34.9,89.1
918,cartewe01,Wendell Carter Jr.,2019,19,CHI,44,1110,25.2,79.5
919,parkeja01,Jabari Parker,2019,23,CHI,39,1042,26.7,73.1
920,seldewa01,Wayne Selden,2019,24,CHI,43,984,22.9,71.4
921,hutchch01,Chandler Hutchison,2019,22,CHI,44,895,20.3,60.5
