HoursStudied,SleepHours,CoffeeCups,AssignmentsCompleted,FinalScore
2.0,7.0,1.0,8.0,65.0
3.0,6.0,2.0,9.0,70.0
5.0,6.0,2.0,10.0,80.0
6.0,5.0,3.0,10.0,85.0
4.0,7.0,1.0,9.0,75.0
3.0,8.0,1.0,8.0,72.0
5.0,6.0,2.0,10.0,82.0
6.0,5.0,3.0,10.0,88.0
7.0,4.0,4.0,10.0,90.0
8.0,4.0,4.0,10.0,95.0
5.0,6.0,2.0,9.0,83.0
,7.0,2.0,8.0,
4.0,8.0,1.0,7.0,74.0
6.0,5.0,3.0,10.0,86.0
7.0,4.0,4.0,10.0,92.0
2.0,7.0,1.0,8.0,66.0
3.0,6.0,2.0,9.0,71.0
5.0,6.0,2.0,10.0,81.0
5.0,6.0,2.0,10.0,81.0
6.0,5.0,3.0,10.0,87.0
3.0,8.0,1.0,8.0,72.0
