Observation,Date,Temperature
0,1/31/2000,69
1,2/29/2000,64
2,3/31/2000,76
3,4/30/2000,85
4,5/31/2000,92
5,6/30/2000,92
6,7/31/2000,79
7,8/31/2000,88
8,9/30/2000,93
9,10/31/2000,76
10,11/30/2000,70
11,12/31/2000,63
12,1/31/2001,60
13,2/28/2001,71
14,3/31/2001,76
15,4/30/2001,76
16,5/31/2001,95
17,6/30/2001,87
18,7/31/2001,87
19,8/31/2001,79
20,9/30/2001,94
21,10/31/2001,89
22,11/30/2001,75
23,12/31/2001,61
24,1/31/2002,63
25,2/28/2002,74
26,3/31/2002,72
27,4/30/2002,76
28,5/31/2002,78
29,6/30/2002,86
30,7/31/2002,90
31,8/31/2002,94
32,9/30/2002,92
33,10/31/2002,88
34,11/30/2002,71
35,12/31/2002,64
36,1/31/2003,66
37,2/28/2003,65
38,3/31/2003,75
39,4/30/2003,69
40,5/31/2003,82
41,6/30/2003,97
42,7/31/2003,84
43,8/31/2003,88
44,9/30/2003,95
45,10/31/2003,89
46,11/30/2003,68
47,12/31/2003,64
48,1/31/2004,61
49,2/29/2004,65
50,3/31/2004,82
51,4/30/2004,90
52,5/31/2004,83
53,6/30/2004,83
54,7/31/2004,77
55,8/31/2004,90
56,9/30/2004,94
57,10/31/2004,90
58,11/30/2004,70
59,12/31/2004,64
60,1/31/2005,63
61,2/28/2005,69
62,3/31/2005,83
63,4/30/2005,73
64,5/31/2005,78
65,6/30/2005,80
66,7/31/2005,89
67,8/31/2005,89
68,9/30/2005,84
69,10/31/2005,83
70,11/30/2005,73
71,12/31/2005,64
72,1/31/2006,65
73,2/28/2006,73
74,3/31/2006,64
75,4/30/2006,73
76,5/31/2006,87
77,6/30/2006,91
78,7/31/2006,97
79,8/31/2006,88
80,9/30/2006,83
81,10/31/2006,81
82,11/30/2006,73
83,12/31/2006,66
84,1/31/2007,64
85,2/28/2007,73
86,3/31/2007,78
87,4/30/2007,77
88,5/31/2007,89
89,6/30/2007,85
90,7/31/2007,80
91,8/31/2007,84
92,9/30/2007,88
93,10/31/2007,81
94,11/30/2007,76
95,12/31/2007,66
96,1/31/2008,59
97,2/29/2008,67
98,3/31/2008,73
99,4/30/2008,84
100,5/31/2008,96
101,6/30/2008,96
102,7/31/2008,88
103,8/31/2008,90
104,9/30/2008,93
105,10/31/2008,84
106,11/30/2008,79
107,12/31/2008,62
108,1/31/2009,72
109,2/28/2009,67
110,3/31/2009,73
111,4/30/2009,91
112,5/31/2009,93
113,6/30/2009,87
114,7/31/2009,88
115,8/31/2009,95
116,9/30/2009,93
117,10/31/2009,79
118,11/30/2009,80
119,12/31/2009,61
120,1/31/2010,62
121,2/28/2010,65
122,3/31/2010,78
123,4/30/2010,76
124,5/31/2010,76
125,6/30/2010,88
126,7/31/2010,79
127,8/31/2010,99
128,9/30/2010,96
129,10/31/2010,94
130,11/30/2010,78
131,12/31/2010,62
132,1/31/2011,68
133,2/28/2011,73
134,3/31/2011,80
135,4/30/2011,78
136,5/31/2011,84
137,6/30/2011,90
138,7/31/2011,84
139,8/31/2011,85
140,9/30/2011,90
141,10/31/2011,83
142,11/30/2011,72
143,12/31/2011,71
144,1/31/2012,65
145,2/29/2012,70
146,3/31/2012,73
147,4/30/2012,80
148,5/31/2012,83
149,6/30/2012,87
150,7/31/2012,82
151,8/31/2012,80
152,9/30/2012,82
153,10/31/2012,93
154,11/30/2012,79
155,12/31/2012,66
156,1/31/2013,63
157,2/28/2013,68
158,3/31/2013,75
159,4/30/2013,83
160,5/31/2013,89
161,6/30/2013,84
162,7/31/2013,82
163,8/31/2013,78
164,9/30/2013,88
165,10/31/2013,83
166,11/30/2013,74
167,12/31/2013,68
168,1/31/2014,73
169,2/28/2014,71
170,3/31/2014,76
171,4/30/2014,90
172,5/31/2014,92
173,6/30/2014,87
174,7/31/2014,90
175,8/31/2014,80
176,9/30/2014,83
177,10/31/2014,95
178,11/30/2014,76
179,12/31/2014,68
180,1/31/2015,74
181,2/28/2015,75
182,3/31/2015,83
183,4/30/2015,88
184,5/31/2015,75
185,6/30/2015,84
186,7/31/2015,88
187,8/31/2015,93
188,9/30/2015,93
189,10/31/2015,87
190,11/30/2015,71
191,12/31/2015,65
192,1/31/2016,62
193,2/29/2016,75
194,3/31/2016,76
195,4/30/2016,86
196,5/31/2016,87
197,6/30/2016,87
198,7/31/2016,81
199,8/31/2016,76
200,9/30/2016,94
201,10/31/2016,84
202,11/30/2016,75
203,12/31/2016,63
204,1/31/2017,64
205,2/28/2017,66
206,3/31/2017,77
207,4/30/2017,78
208,5/31/2017,87
209,6/30/2017,97
210,7/31/2017,85
211,8/31/2017,88
212,9/30/2017,104
213,10/31/2017,91
214,11/30/2017,69
215,12/31/2017,66
